duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,actor_3_name,num_user_for_reviews,content_rating,actor_2_facebook_likes,movie_facebook_likes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,imdb_score
173.0,0.0,19000.0,2209,26000.0,623279547.0,293,995415,2770,1722.0,7,21000.0,123000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[8, 10)"
136.0,252.0,1000.0,2301,40000.0,241063875.0,878,370704,2880,484.0,7,11000.0,58000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
106.0,188.0,718.0,1853,10000.0,179020854.0,1825,268154,2315,341.0,7,816.0,40000,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
164.0,0.0,773.0,17,5000.0,255108370.0,20,354228,1326,802.0,7,972.0,65000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
153.0,464.0,963.0,137,15000.0,262030663.0,519,451803,552,1225.0,7,10000.0,56000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
156.0,0.0,738.0,2696,891.0,105219735.0,1146,211765,2774,546.0,7,882.0,17000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
186.0,0.0,773.0,17,5000.0,258355354.0,20,483540,1326,951.0,7,972.0,83000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
113.0,129.0,1000.0,838,16000.0,70083519.0,315,149019,1799,666.0,7,6000.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
201.0,0.0,84.0,2529,6000.0,218051260.0,1293,316018,987,2618.0,7,919.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[6, 8)"
194.0,0.0,794.0,1396,29000.0,658672302.0,1057,793059,1120,2528.0,7,14000.0,26000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[6, 8)"
147.0,94.0,11000.0,2329,21000.0,407197282.0,1485,272670,540,1022.0,7,19000.0,72000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[8, 10)"
131.0,532.0,627.0,85,14000.0,65173160.0,1068,202382,2934,751.0,7,10000.0,44000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"[4, 6)"
124.0,365.0,1000.0,1354,3000.0,652177271.0,222,418214,2362,1290.0,7,2000.0,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"[6, 8)"
143.0,0.0,393.0,1010,883.0,304360277.0,29,522030,2678,1498.0,7,563.0,80000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[6, 8)"
135.0,0.0,4000.0,1104,24000.0,373377893.0,703,411164,1790,1303.0,7,11000.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"[6, 8)"
